line,comparison,region,position_class,side_of_strong_line,corr,nmse,phase_rmse_rad,amplitude_nrmse
4,author_L4_forward_vs_reverse,heldout_72,edge,before,0.9893310931479693,0.021421816350545145,0.18691673046823457,0.10783968800876044
4,author_L4_forward_vs_reverse,extrapolated_outside_200,edge,before,0.9881043698130658,0.02376907049466295,0.21174665330185788,0.10825462195161317
4,author_L4_forward_vs_reverse,full_K,edge,before,0.9951431609813547,0.009707960997575817,0.19176990329989724,0.07066541383903137
4,author_L4_forward_vs_independent,input_128,edge,before,0.9999620737705349,7.585102053172815e-05,0.011937058423547363,0.0061663057656184935
4,author_L4_forward_vs_independent,embedded_200,edge,before,0.9952904262043569,0.00979948801226384,0.14138854483311272,0.07455759906335618
4,author_L4_forward_vs_independent,heldout_72,edge,before,0.9835200925264135,0.03846078382505544,0.23510945947927064,0.14775630928075104
4,author_L4_forward_vs_independent,extrapolated_outside_200,edge,before,0.9635834169120852,0.09255731251187081,0.6487806994576845,0.20056083748586317
4,author_L4_forward_vs_independent,full_K,edge,before,0.9866583036149634,0.02908522072204013,0.5662905412808058,0.11677882398652953
4,author_L4_reverse_vs_independent,input_128,edge,before,0.9999552941856037,8.940963018289325e-05,0.013675467105289626,0.006490472997431694
4,author_L4_reverse_vs_independent,embedded_200,edge,before,0.9955253562249647,0.009368220331365638,0.15521729380909532,0.06814020119539077
4,author_L4_reverse_vs_independent,heldout_72,edge,before,0.9845362871974614,0.03703836418602314,0.25805208626397497,0.1355120445142568
4,author_L4_reverse_vs_independent,extrapolated_outside_200,edge,before,0.9536352675180454,0.11498415794516909,0.6760906950389212,0.21963443765472976
4,author_L4_reverse_vs_independent,full_K,edge,before,0.9843235465487453,0.03399869091806854,0.5906327733990161,0.12169661006393077
5,wrapper_individual_vs_direct_independent,input_128,edge,before,1.0,2.4450095601365857e-32,2.2684333709637924e-17,1.7698599491094778e-16
5,wrapper_individual_vs_direct_independent,embedded_200,edge,before,1.0,2.4928662507598623e-32,2.169054710272703e-17,1.7717246093173355e-16
5,wrapper_individual_vs_direct_independent,heldout_72,edge,before,1.0,2.584693633957847e-32,1.9801043482007174e-17,1.7752970335395532e-16
5,wrapper_individual_vs_direct_independent,extrapolated_outside_200,edge,before,1.0,2.7125608964405407e-32,2.2588609351781933e-17,1.803272611754252e-16
5,wrapper_individual_vs_direct_independent,full_K,edge,before,1.0,2.589995264196865e-32,2.2367474438109072e-17,1.7857410056136578e-16
5,whole_forward_vs_reverse,input_128,edge,before,0.9999973637390505,5.2725149492509875e-06,0.002574338239679865,0.0016891249305679501
5,whole_forward_vs_reverse,embedded_200,edge,before,0.9984124075933671,0.003176328626245674,0.14755430382493215,0.04245221877067861
5,whole_forward_vs_reverse,heldout_72,edge,before,0.9950051040881537,0.010001730597114534,0.24589988454056147,0.07533324114353075
5,whole_forward_vs_reverse,extrapolated_outside_200,edge,before,0.9879212090801439,0.02428477164372938,0.5558807659419314,0.07477434773952615
5,whole_forward_vs_reverse,full_K,edge,before,0.9945297633803705,0.010957106125938417,0.4870273478999473,0.05655844451832613
5,whole_forward_vs_independent,input_128,edge,before,0.9999711613213497,5.767652563119484e-05,0.008938976496833133,0.005675587944819602
5,whole_forward_vs_independent,embedded_200,edge,before,0.9972324458034089,0.006018017727164044,0.13751921432905123,0.05862744757565345
5,whole_forward_vs_independent,heldout_72,edge,before,0.9928075070240105,0.018847095219382014,0.22888858835905623,0.10375956473981875
5,whole_forward_vs_independent,extrapolated_outside_200,edge,before,0.984375703487813,0.07363182506952529,0.43165275460300473,0.23436928731307854
5,whole_forward_vs_independent,full_K,edge,before,0.9891256967731881,0.030941125054514337,0.3800933556308124,0.1497249167753789
5,whole_reverse_vs_independent,input_128,edge,before,0.9999745501616375,5.0899029030960546e-05,0.008506461549011295,0.005317797812121241
5,whole_reverse_vs_independent,embedded_200,edge,before,0.9973085412891983,0.006001092537907268,0.17384071702293324,0.05705912869602697
5,whole_reverse_vs_independent,heldout_72,edge,before,0.9933666058616835,0.01905225267961728,0.2895124472792974,0.10166055978314764
5,whole_reverse_vs_independent,extrapolated_outside_200,edge,before,0.9752871933738315,0.11118634693353883,0.5122708371699596,0.2778114528052202
5,whole_reverse_vs_independent,full_K,edge,before,0.9846400031259381,0.04351391339159601,0.4520743375650407,0.1721031423078064
5,author_L4_forward_vs_reverse,input_128,edge,before,0.9999973638909772,5.2722110965283255e-06,0.0025737797175503516,0.001689085405371453
5,author_L4_forward_vs_reverse,embedded_200,edge,before,0.9984116130889108,0.0031779578568721946,0.1476345985696324,0.042463228125944975
5,author_L4_forward_vs_reverse,heldout_72,edge,before,0.9950027399459119,0.010006867248441244,0.24603373253317676,0.07535280075093154
5,author_L4_forward_vs_reverse,extrapolated_outside_200,edge,before,0.9879004998395676,0.024332051718434063,0.5576621155072199,0.0749491710699524
5,author_L4_forward_vs_reverse,full_K,edge,before,0.994521008917587,0.010975562701914429,0.4885583588249156,0.05664888640388644
5,author_L4_forward_vs_independent,input_128,edge,before,0.9999711613213497,5.767652563119484e-05,0.008938976496833133,0.005675587944819602
5,author_L4_forward_vs_independent,embedded_200,edge,before,0.9972324458034089,0.006018017727164044,0.13751921432905123,0.05862744757565345
5,author_L4_forward_vs_independent,heldout_72,edge,before,0.9928075070240105,0.018847095219382014,0.22888858835905623,0.10375956473981875
